Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,popularity,avgScore,tags,Genres,Themes,Settings,Tone/Mood,Audience,Writing Style,Features,Time Period
Tess of the D'urbervilles (Summer Classics),None,['Thomas Hardy'],http://books.google.com/books/content?id=6e8EKF_z5TEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6e8EKF_z5TEC&printsec=frontcover&dq=Tess+of+the+D%27urbervilles+(Summer+Classics)&hl=&cd=1&source=gbs_api,,1892-01-01,https://play.google.com/store/books/details?id=6e8EKF_z5TEC&source=gbs_api,['Children of clergy'],323,4.176470588235294,"### **Genres**

- Classic
- Historical Fiction
- Romance

### **Themes**

- Love
- Betrayal
- Redemption
- Social Class
- Forbidden Love

### **Settings**

- 19th Century
- England
- Rural

### **Tone/Mood**

- Melancholic
- Bittersweet
- Reflective

### **Audience**

- Adult",,,,,,,,
Visions of Sugar Plums,A holiday adventure finds Stephanie Plum struggling to remove an intruder from her apartment and falling for a mysterious newcomer.,['Janet Evanovich'],http://books.google.com/books/content?id=MWPWY2aDhpkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=MWPWY2aDhpkC&printsec=frontcover&dq=Visions+of+Sugar+Plums&hl=&cd=1&source=gbs_api,Macmillan,2007-10-30,http://books.google.com/books?id=MWPWY2aDhpkC&dq=Visions+of+Sugar+Plums&hl=&source=gbs_api,['Fiction'],272,3.2830882352941178,"Here are the chosen tags:

### Genres

- Mystery
- Thriller
- Crime
- Suspense
- Romance
- Young Adult

### Themes

- Betrayal
- Identity
- Power
- Justice
- Redemption
- Forbidden Love
- Courage
- Family

### Settings

- Contemporary

### Tone/Mood

- Suspenseful
- Emotional
- Tense
- Dramatic
- Reflective

### Audience

- Young Adult
- Adult

### Writing Style

- First-Person Narrative
- Dialogue-Driven

### Features

- Mystery Solving
- Detective Work
- Espionage
- Supernatural Elements

### Time Period

- Contemporary","Mystery, Thriller, Crime, Suspense, Romance, Young Adult","Betrayal, Identity, Power, Justice, Redemption, Forbidden Love, Courage, Family",Contemporary,"Suspenseful, Emotional, Tense, Dramatic, Reflective","Young Adult, Adult","First-Person Narrative, Dialogue-Driven","Mystery Solving, Detective Work, Espionage, Supernatural Elements",Contemporary
"The legend of Sleepy Hollow,","A superstitious schoolmaster, in love with a wealthy farmer's daughter, has a terrifying encounter with a headless horseman.",['Washington Irving'],http://books.google.com/books/content?id=rpptcn9CJGYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=rpptcn9CJGYC&printsec=frontcover&dq=The+legend+of+Sleepy+Hollow,&hl=&cd=1&source=gbs_api",Simon and Schuster,2007-08-07,"http://books.google.nl/books?id=rpptcn9CJGYC&dq=The+legend+of+Sleepy+Hollow,&hl=&source=gbs_api",['Juvenile Fiction'],319,4.075235109717869,"Here are the chosen tags:

### Genres

- Fantasy
- Historical Fiction
- Horror
- Short Story

### Themes

- Love
- Revenge
- Good vs. Evil
- Betrayal
- Redemption
- Courage

### Settings

- Historical Era
- Medieval
- Rural

### Tone/Mood

- Suspenseful
- Dark
- Melancholic

### Audience

- Adult

### Features

- Supernatural Elements
- Ghosts

### Time Period

- Historical Era","Fantasy, Historical Fiction, Horror, Short Story","Love, Revenge, Good vs. Evil, Betrayal, Redemption, Courage","Historical Era, Medieval, Rural","Suspenseful, Dark, Melancholic",Adult,,"Supernatural Elements, Ghosts",Historical Era
Suzannes Diary For Nicholas,"Changing genres, the author of ""Cradle and All"" offers a moving and suspenseful novel about families, loss, new love, and hope. Katie Wilkinson has found the perfect man at last, but one day he disappears from her life, leaving behind only a diary for her to read.",['James Patterson'],,http://books.google.com/books?id=LdJbRAAACAAJ&dq=Suzannes+Diary+For+Nicholas&hl=&cd=1&source=gbs_api,,,http://books.google.com/books?id=LdJbRAAACAAJ&dq=Suzannes+Diary+For+Nicholas&hl=&source=gbs_api,None,645,3.86046511627907,"Here are the tags that fit best for the book ""Suzannes Diary For Nicholas"":

### Genres

- Romance
- Suspense
- Family

### Themes

- Love
- Loss
- Hope
- Family
- Redemption

### Settings

- Contemporary

### Tone/Mood

- Suspenseful
- Emotional
- Heartwarming

### Audience

- Adult

### Writing Style

- First-Person Narrative
- Stream of Consciousness

### Features

- None

### Time Period

- Contemporary","Romance, Suspense, Family","Love, Loss, Hope, Family, Redemption",Contemporary,"Suspenseful, Emotional, Heartwarming",Adult,"First-Person Narrative, Stream of Consciousness",None,Contemporary
"The Gunslinger (The Dark Tower Ser., Bk. I)",None,['Richard Bachman'],,"http://books.google.nl/books?id=oMJ5zgEACAAJ&dq=The+Gunslinger+(The+Dark+Tower+Ser.,+Bk.+I)&hl=&cd=1&source=gbs_api",,1982-01-01,"http://books.google.nl/books?id=oMJ5zgEACAAJ&dq=The+Gunslinger+(The+Dark+Tower+Ser.,+Bk.+I)&hl=&source=gbs_api",None,520,4.098076923076923,"### **Genres**

- Fantasy
- Science Fiction
- Western
- Adventure

### **Themes**

- Good vs. Evil
- Redemption
- Survival
- Courage
- Identity

### **Settings**

- Post-Apocalyptic
- Futuristic
- Alternate Universe
- Western Frontier

### **Tone/Mood**

- Dark
- Suspenseful
- Emotional
- Gritty
- Tense

### **Audience**

- Adult",,,,,,,,
What Came Before He Shot Her,"#1 New York Times bestselling author Elizabeth George delivers an explosive, ""absolutely riveting"" novel (Entertainment Weekly) that delves into the events leading up to the shocking murder of Inspector Lynley’s wife. The brutal, inexplicable death of Inspector Thomas Lynley’s wife, Helen, has left Scotland Yard shocked and searching for answers. Even more horrifying is that the trigger was apparently pulled by a twelve-year-old boy. That story begins on the other side of London in rough North Kensington, where the three, mixed-race, virtually orphaned Campbell children are bounced first from their grandmother to their aunt. The oldest, fifteen-year-old Ness, is headed for trouble as fast as her high-heeled boots will take her. That leaves the middle child, Joel, to care for the youngest, Toby. No one wants to put it into words, but something clearly isn’t right with Toby. Before long, there are signs that Joel himself has problems. A local gang starts harassing him and threatening his brother. To protect his family, Joel ends up making a pact with the devil—a move that leads straight to the front doorstep of Thomas Lynley. The anatomy of a murder, the story of a family in crisis, What Came Before He Shot Her is a powerful and emotional novel, full of deep psychological insights, that only the incomparable Elizabeth George could write.",['Elizabeth George'],http://books.google.com/books/content?id=89jiZroQ7WIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=89jiZroQ7WIC&printsec=frontcover&dq=What+Came+Before+He+Shot+Her&hl=&cd=1&source=gbs_api,Harper Collins,2009-10-13,https://play.google.com/store/books/details?id=89jiZroQ7WIC&source=gbs_api,['Fiction'],316,3.1012658227848102,"Here are the chosen tags:

### Genres

- Thriller
- Mystery
- Crime

### Themes

- Betrayal
- Family
- Power
- Revenge
- Redemption
- Justice
- Loss
- Identity

### Settings

- Contemporary
- London

### Tone/Mood

- Suspenseful
- Emotional
- Tense
- Dramatic

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Stream of Consciousness
- Descriptive
- Plot-Driven

### Features

- None

### Time Period

- Contemporary","Thriller, Mystery, Crime","Betrayal, Family, Power, Revenge, Redemption, Justice, Loss, Identity","Contemporary, London","Suspenseful, Emotional, Tense, Dramatic",Adult,"Third-Person Narrative, Stream of Consciousness, Descriptive, Plot-Driven",None,Contemporary
A People's History of the United States: 1492 to Present,"This is a new edition of the radical social history of America from Columbus to the present. This powerful and controversial study turns orthodox American history upside down to portray the social turmoil behind the ""march of progress"". Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of - and in the words of - America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of America's greatest battles - the fights for fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality - were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through the Clinton years A People's History of the United States, which was nominated for the American Book Award in 1981, is an insightful analysis of the most important events in US history.",['Howard Zinn'],http://books.google.com/books/content?id=iMJcCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=iMJcCgAAQBAJ&printsec=frontcover&dq=A+People%27s+History+of+the+United+States:+1492+to+Present&hl=&cd=1&source=gbs_api,Routledge,2015-08-12,http://books.google.nl/books?id=iMJcCgAAQBAJ&dq=A+People%27s+History+of+the+United+States:+1492+to+Present&hl=&source=gbs_api,['History'],353,3.8753541076487252,"Here are the chosen tags:

### Genres

- Non-Fiction
- History

### Themes

- Identity
- Power
- Justice
- Freedom
- Social Change
- Revolution
- Class struggle
- Racism
- Colonialism

### Settings

- Historical Era
- United States

### Tone/Mood

- Serious
- Informative
- Critical

### Audience

- Adult

### Writing Style

- Scholarly
- Descriptive
- Analytical

### Features

- None

### Time Period

- 1492 to present","Non-Fiction, History","Identity, Power, Justice, Freedom, Social Change, Revolution, Class struggle, Racism, Colonialism","Historical Era, United States","Serious, Informative, Critical",Adult,"Scholarly, Descriptive, Analytical",None,1492 to present
Wish You Well,"Dit is het aangrijpende verhaal van de twaalfjarige Louisa Mae Cardinal, die in New York woont met haar verlegen broertje Oz. Het is 1940 en ze hebben het niet gemakkelijk, want het inkomen van hun vader, die schrijver is, is niet hoog. Maar dat kan Lou niet zoveel schelen, want ze aanbidt haar vader en is gek op zijn verhalen. Maar dan, in één verschrikkelijk moment, verandert Lou's leven voorgoed. Een auto-ongeluk maakt een einde aan hun vaders leven, waardoor zij en Oz moeten verhuizen naar het verre Virginia. Daar, in het isolement van de desolate bergen, komen ze te wonen bij hun excentrieke overgrootmoeder Louisa, Lou's naamgenote. Geplaatst tegenover nieuwe verantwoordelijkheden ziet Lou zich gedwongen snel volwassen te worden. Daar, op haar overgrootmoeders eenvoudige boerderij, op het land waarvan haar vader zo hield en waarover hij steeds weer schreef, ontdekt zij wie zij werkelijk is en wat zij kan betekenen voor deze wereld. En wanneer een vernietigend noodlot hun nieuwe huis treft kan zij de strijd die volgt het hoofd bieden; een strijd die gaat om recht en overleving en die gestreden wordt in een overvolle rechtszaal in Virginia...",['David Baldacci'],http://books.google.com/books/content?id=UE3sCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=UE3sCgAAQBAJ&pg=PP1&dq=Wish+You+Well&hl=&cd=1&source=gbs_api,A.W. Bruna Uitgevers,2009-10-28,http://books.google.nl/books?id=UE3sCgAAQBAJ&dq=Wish+You+Well&hl=&source=gbs_api,['Fiction'],313,4.274760383386582,"Here are the chosen tags:

### Genres

- Mystery
- Thriller
- Crime
- Suspense

### Themes

- Betrayal
- Revenge
- Redemption
- Identity
- Power
- Justice
- Family
- Loss
- Courage

### Settings

- Contemporary
- Historical Era

### Tone/Mood

- Suspenseful
- Emotional
- Gritty
- Tense
- Dramatic

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Descriptive
- Plot-Driven","Mystery, Thriller, Crime, Suspense","Betrayal, Revenge, Redemption, Identity, Power, Justice, Family, Loss, Courage","Contemporary, Historical Era","Suspenseful, Emotional, Gritty, Tense, Dramatic",Adult,"Third-Person Narrative, Descriptive, Plot-Driven",,
"The velveteen rabbit;: Or, how toys become real","A simplified retelling of Margery Williams' tale of a toy which, by the time he is dirty, worn out, and about to be burned, has almost given up hope of ever finding the magic called Real.",['Komako Sakai' ' Margery Williams Bianco'],http://books.google.com/books/content?id=7XpongEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=7XpongEACAAJ&dq=The+velveteen+rabbit%3B:+Or,+how+toys+become+real&hl=&cd=1&source=gbs_api",,2012-01-01,"http://books.google.com/books?id=7XpongEACAAJ&dq=The+velveteen+rabbit%3B:+Or,+how+toys+become+real&hl=&source=gbs_api",['Juvenile Fiction'],300,4.566666666666666,"Here are the chosen tags:

### Genres

- Children's
- Fantasy

### Themes

- Coming of Age
- Friendship
- Love
- Good vs. Evil
- Redemption
- Identity

### Settings

- None

### Tone/Mood

- Heartwarming
- Emotional
- Uplifting

### Audience

- Children
- All Ages

### Writing Style

- Descriptive
- Lyrical

### Features

- None

### Time Period

- Timeless","Children's, Fantasy","Coming of Age, Friendship, Love, Good vs. Evil, Redemption, Identity",None,"Heartwarming, Emotional, Uplifting","Children, All Ages","Descriptive, Lyrical",None,Timeless
Alfred Hitchcock Presents 12 Stories For Late Night,None,['Alfred Hitchcock'],,http://books.google.nl/books?id=foJizgEACAAJ&dq=Alfred+Hitchcock+Presents+12+Stories+For+Late+Night&hl=&cd=1&source=gbs_api,,1982-01-01,http://books.google.nl/books?id=foJizgEACAAJ&dq=Alfred+Hitchcock+Presents+12+Stories+For+Late+Night&hl=&source=gbs_api,['Detective and mystery stories'],717,4.158995815899582,"### Genres

- Mystery
- Anthology
- Short Story
- Horror
- Thriller

### Themes

- Revenge
- Betrayal
- Justice
- Power
- Suspense

### Settings

- Contemporary
- Urban

### Tone/Mood

- Suspenseful
- Tense
- Dramatic
- Mysterious

### Audience

- Adult

### Writing Style

- Short Story
- Anthology
- Multiple Perspectives","Mystery, Anthology, Short Story, Horror, Thriller","Revenge, Betrayal, Justice, Power, Suspense","Contemporary, Urban","Suspenseful, Tense, Dramatic, Mysterious",Adult,"Short Story, Anthology, Multiple Perspectives",,
The Drawing of the 3: The Dark Tower II,"After his confrontation with the man in black at the end of The Gunslinger , Roland awakes to find three doors on the beach of Mid-World's Western Sea-each leading to New York City but at three different moments in time. Through these doors, Roland must ""draw"" three figures crucial to his quest for the Dark Tower. In 1987, he finds Eddie Dean, The Prisoner, a heroin addict. In 1964, he meets Odetta Holmes, the Lady of Shadows, a young African-American heiress who lost her lower legs in a subway accident and gained a second personality that rages within her. And in 1977, he encounters Jack mort, Death, a pusher responsible for cruelties beyond imagining. Has Roland found new companions to form the ka-tet of his quest? Or has he unleashed something else entirely?",['Stephen King'],http://books.google.com/books/content?id=x2SDPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=x2SDPwAACAAJ&dq=The+Drawing+of+the+3:+The+Dark+Tower+II&hl=&cd=1&source=gbs_api,Donald m Grant Pub Incorporated,1987-01-01,http://books.google.com/books?id=x2SDPwAACAAJ&dq=The+Drawing+of+the+3:+The+Dark+Tower+II&hl=&source=gbs_api,['Fiction'],293,4.474402730375426,"Here are the chosen tags:

### Genres

- Fantasy
- Science Fiction
- Horror
- Adventure

### Themes

- Good vs. Evil
- Quest
- Redemption
- Survival
- Power
- Loss

### Settings

- Futuristic
- Medieval
- Post-Apocalyptic
- Urban

### Tone/Mood

- Dark
- Suspenseful
- Emotional
- Gritty
- Mysterious

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Stream of Consciousness
- Multiple Perspectives
- Descriptive
- Plot-Driven","Fantasy, Science Fiction, Horror, Adventure","Good vs. Evil, Quest, Redemption, Survival, Power, Loss","Futuristic, Medieval, Post-Apocalyptic, Urban","Dark, Suspenseful, Emotional, Gritty, Mysterious",Adult,"Third-Person Narrative, Stream of Consciousness, Multiple Perspectives, Descriptive, Plot-Driven",,
4th of July (Women's Murder Club),None,['James Patterson' ' Maxine Paetro'],http://books.google.com/books/content?id=1LjGrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1LjGrQEACAAJ&dq=4th+of+July+(Women%27s+Murder+Club)&hl=&cd=1&source=gbs_api,,2014-12-01,http://books.google.com/books?id=1LjGrQEACAAJ&dq=4th+of+July+(Women%27s+Murder+Club)&hl=&source=gbs_api,None,292,3.993150684931507,"Here are the chosen tags for the book ""4th of July (Women's Murder Club)"" by James Patterson and Maxine Paetro:

### Genres

- Mystery
- Thriller

### Themes

- Justice
- Power
- Revenge

### Settings

- Contemporary
- Urban

### Tone/Mood

- Suspenseful
- Tense

### Audience

- Adult

### Writing Style

- Fast-Paced
- Plot-Driven","Mystery, Thriller","Justice, Power, Revenge","Contemporary, Urban","Suspenseful, Tense",Adult,"Fast-Paced, Plot-Driven",,
The Boleyn Inheritance,"Lady-in-waiting Jane Boleyn, the only survivor of the ambitious Boleyn family, testifies against Henry VIII's latest queen, Anne of Cleves, and conspires to place her young cousin, Katherine Howard, on the throne.",['Philippa Gregory'],http://books.google.com/books/content?id=xZNVDAaxrGIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xZNVDAaxrGIC&printsec=frontcover&dq=The+Boleyn+Inheritance&hl=&cd=1&source=gbs_api,Simon and Schuster,2008-12-30,http://books.google.com/books?id=xZNVDAaxrGIC&dq=The+Boleyn+Inheritance&hl=&source=gbs_api,['Fiction'],291,4.381443298969073,"Here are the chosen tags:

### Genres

- Historical Fiction
- Romance
- Historical Romance

### Themes

- Power
- Family
- Revenge
- Survival
- Good vs. Evil
- Betrayal
- Redemption
- Identity

### Settings

- Historical Era
- Medieval
- England

### Tone/Mood

- Suspenseful
- Emotional
- Dramatic

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Descriptive

### Features

- Historical Events
- Royal Court Intrigue
- Conspiracy

### Time Period

- Historical Era
- 16th Century","Historical Fiction, Romance, Historical Romance","Power, Family, Revenge, Survival, Good vs. Evil, Betrayal, Redemption, Identity","Historical Era, Medieval, England","Suspenseful, Emotional, Dramatic",Adult,"Third-Person Narrative, Descriptive","Historical Events, Royal Court Intrigue, Conspiracy","Historical Era, 16th Century"
"The self-publishing manual: How to write, print & sell your own book",None,['Dan Poynter'],,"http://books.google.com/books?id=saDnMgEACAAJ&dq=The+self-publishing+manual:+How+to+write,+print&hl=&cd=1&source=gbs_api",,1989-01-01,"http://books.google.com/books?id=saDnMgEACAAJ&dq=The+self-publishing+manual:+How+to+write,+print&hl=&source=gbs_api",['Self-publishing'],281,4.740213523131673,"Here are the tags that fit best:

### Genres

- Non-Fiction
- Self-Help

### Themes

- Writing
- Publishing
- Entrepreneurship
- Business

### Settings

- Contemporary

### Tone/Mood

- Informative
- Practical

### Audience

- Adult

### Writing Style

- Descriptive
- Informative

### Features

- How-to

### Time Period

- Contemporary","Non-Fiction, Self-Help","Writing, Publishing, Entrepreneurship, Business",Contemporary,"Informative, Practical",Adult,"Descriptive, Informative",How-to,Contemporary
Why Do Men Have Nipples?,"Setting the record straight on folk remedies, traditional cures, and medical myths, an entertaining but informative medical reference furnishes informative answers to such questions as Do microwaves cause cancer?, Is sperm nutritious?, Is it bad to crack your knuckles?, and more. Original. 35,000 first printing.",['Mark Leyner' ' Billy Goldberg'],http://books.google.com/books/content?id=JIWJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JIWJDQAAQBAJ&printsec=frontcover&dq=Why+Do+Men+Have+Nipples%3F&hl=&cd=1&source=gbs_api,Three Rivers Press (CA),2005-01-01,http://books.google.com/books?id=JIWJDQAAQBAJ&dq=Why+Do+Men+Have+Nipples%3F&hl=&source=gbs_api,['Humor'],262,3.3893129770992365,"Here are the tags that fit best:

### Genres

- Non-Fiction
- Science
- Health
- Medicine
- Reference

### Themes

- Education
- Information
- Science
- Health
- Medicine
- Curiosity
- Investigation

### Settings

- Contemporary
- Medical

### Tone/Mood

- Informative
- Entertaining
- Engaging

### Audience

- Adult
- All Ages

### Writing Style

- Descriptive
- Informative
- Conversational

### Features

- Medical references
- Scientific explanations
- Investigation
- Research-based","Non-Fiction, Science, Health, Medicine, Reference","Education, Information, Science, Health, Medicine, Curiosity, Investigation","Contemporary, Medical","Informative, Entertaining, Engaging","Adult, All Ages","Descriptive, Informative, Conversational","Medical references, Scientific explanations, Investigation, Research-based",
The Romanov Prophecy,"After the Russian people vote to bring back the Tsar, to be chosen from the distant relatives of Nicholas II, attorney Miles Lord heads for Moscow to perform a background check on one of the candidates, but his assignment turns unexpectedly dangerous.",['Steve Berry'],http://books.google.com/books/content?id=A6gsFpxPJF8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=A6gsFpxPJF8C&printsec=frontcover&dq=The+Romanov+Prophecy&hl=&cd=1&source=gbs_api,"Random House Digital, Inc.",2007-11-01,http://books.google.com/books?id=A6gsFpxPJF8C&dq=The+Romanov+Prophecy&hl=&source=gbs_api,['Fiction'],347,3.5821325648414986,"Here are the tags that fit best:

### Genres

- Thriller
- Mystery
- Historical Fiction

### Themes

- Betrayal
- Power
- Redemption
- Good vs. Evil
- Justice
- Family

### Settings

- Historical Era (Russian Revolution/Russian Empire)
- Contemporary (modern-day Moscow)

### Tone/Mood

- Suspenseful
- Tense
- Dramatic

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Plot-Driven","Thriller, Mystery, Historical Fiction","Betrayal, Power, Redemption, Good vs. Evil, Justice, Family","Historical Era (Russian Revolution/Russian Empire), Contemporary (modern-day Moscow)","Suspenseful, Tense, Dramatic",Adult,"Third-Person Narrative, Plot-Driven",,
The Little Book That Beats the Market,"In 2005, Joel Greenblatt published a book that is already considered one of the classics of finance literature. In The Little Book that Beats the Market—a New York Times bestseller with 300,000 copies in print—Greenblatt explained how investors can outperform the popular market averages by simply and systematically applying a formula that seeks out good businesses when they are available at bargain prices. Now, with a new Introduction and Afterword for 2010, The Little Book that Still Beats the Market updates and expands upon the research findings from the original book. Included are data and analysis covering the recent financial crisis and model performance through the end of 2009. In a straightforward and accessible style, the book explores the basic principles of successful stock market investing and then reveals the author’s time-tested formula that makes buying above average companies at below average prices automatic. Though the formula has been extensively tested and is a breakthrough in the academic and professional world, Greenblatt explains it using 6th grade math, plain language and humor. He shows how to use his method to beat both the market and professional managers by a wide margin. You’ll also learn why success eludes almost all individual and professional investors, and why the formula will continue to work even after everyone “knows” it. While the formula may be simple, understanding why the formula works is the true key to success for investors. The book will take readers on a step-by-step journey so that they can learn the principles of value investing in a way that will provide them with a long term strategy that they can understand and stick with through both good and bad periods for the stock market. As the Wall Street Journal stated about the original edition, “Mr. Greenblatt…says his goal was to provide advice that, while sophisticated, could be understood and followed by his five children, ages 6 to 15. They are in luck. His ‘Little Book’ is one of the best, clearest guides to value investing out there.”",['Joel Greenblatt'],http://books.google.com/books/content?id=G5RyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=G5RyDwAAQBAJ&printsec=frontcover&dq=The+Little+Book+That+Beats+the+Market&hl=&cd=1&source=gbs_api,John Wiley & Sons,2010-09-07,http://books.google.com/books?id=G5RyDwAAQBAJ&dq=The+Little+Book+That+Beats+the+Market&hl=&source=gbs_api,['Business & Economics'],281,3.7295373665480427,"Here are the tags that fit best:

### **Genres**

* Non-Fiction
* Business
* Finance

### **Themes**

* Investing
* Business
* Finance
* Success
* Strategy
* Value Investing
* Stock Market

### **Settings**

* None (financial markets, business)

### **Tone/Mood**

* Informative
* Educational
* Professional
* Serious
* Practical

### **Audience**

* Adult
* Business/Professional

### **Writing Style**

* Descriptive
* Informative
* Analytical
* Straightforward
* Accessible

### **Features**

* None (financial concepts, business strategies)

### **Time Period**

* Contemporary (2005-2009)",,,,,,,,
Johnny Tremain,None,None,http://books.google.com/books/content?id=tX5qDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=tX5qDwAAQBAJ&printsec=frontcover&dq=Johnny+Tremain&hl=&cd=1&source=gbs_api,,,http://books.google.com/books?id=tX5qDwAAQBAJ&dq=Johnny+Tremain&hl=&source=gbs_api,None,376,4.164893617021277,"Here are the tags that fit best:

### Genres

- Historical Fiction
- Young Adult

### Themes

- Coming of Age
- Identity
- Family
- Redemption
- Courage

### Settings

- Historical Era
- 18th Century

### Tone/Mood

- Inspirational
- Emotional
- Heartwarming","Historical Fiction, Young Adult","Coming of Age, Identity, Family, Redemption, Courage","Historical Era, 18th Century","Inspirational, Emotional, Heartwarming",,,,
Forever Odd: A Novel,"NEW YORK TIMES BESTSELLER I see dead people. But then, by God, I do something about it. Odd Thomas never asked for his special ability. He’s just an ordinary guy trying to live a quiet life in the small desert town of Pico Mundo. Yet he feels an obligation to do right by his otherworldly confidants, and that’s why he’s won hearts on both sides of the divide between life and death. But when a childhood friend disappears, Odd discovers something worse than a dead body and embarks on a heart-stopping battle of will and wits with an enemy of exceptional cunning. In the hours to come there can be no innocent bystanders, and every sacrifice can tip the balance between despair and hope. You’re invited on an unforgettable journey through a world of terror and transcendence to wonders beyond imagining. And you can have no better guide than Odd Thomas.",['Dean Koontz'],http://books.google.com/books/content?id=JECA8s4s12YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JECA8s4s12YC&printsec=frontcover&dq=Forever+Odd:+A+Novel&hl=&cd=1&source=gbs_api,Bantam,2007-06-29,https://play.google.com/store/books/details?id=JECA8s4s12YC&source=gbs_api,['Fiction'],333,3.7567567567567566,"Here are the chosen tags:

### Genres

- Thriller
- Mystery
- Suspense

### Themes

- Redemption
- Courage
- Power
- Identity
- Good vs. Evil
- Betrayal
- Survival

### Tone/Mood

- Suspenseful
- Dark
- Emotional

### Audience

- Adult

### Writing Style

- Third-Person Narrative
- Fast-Paced
- Plot-Driven

### Features

- Mystery Solving
- Quest
- Supernatural Elements
- Time of Death","Thriller, Mystery, Suspense","Redemption, Courage, Power, Identity, Good vs. Evil, Betrayal, Survival",,"Suspenseful, Dark, Emotional",Adult,"Third-Person Narrative, Fast-Paced, Plot-Driven","Mystery Solving, Quest, Supernatural Elements, Time of Death",
Dianetics: The Modern Science of Mental Health,None,['L. Ron Hubbard'],http://books.google.com/books/content?id=5k6bPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=5k6bPwAACAAJ&dq=Dianetics:+The+Modern+Science+of+Mental+Health&hl=&cd=1&source=gbs_api,,2007-11-01,http://books.google.com/books?id=5k6bPwAACAAJ&dq=Dianetics:+The+Modern+Science+of+Mental+Health&hl=&source=gbs_api,None,317,3.6498422712933754,"### Genres

- Non-Fiction
- Self-Help

### Themes

- Self-Improvement
- Personal Growth
- Mental Health
- Spirituality

### Settings

- Contemporary

### Tone/Mood

- Inspirational
- Uplifting

### Audience

- Adult

### Writing Style

- Non-Linear
- Descriptive","Non-Fiction, Self-Help","Self-Improvement, Personal Growth, Mental Health, Spirituality",Contemporary,"Inspirational, Uplifting",Adult,"Non-Linear, Descriptive",,
The Tortilla Curtain,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters.",['T. Coraghessan Boyle'],http://books.google.com/books/content?id=NCSMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=NCSMDQAAQBAJ&printsec=frontcover&dq=The+Tortilla+Curtain&hl=&cd=1&source=gbs_api,Penguin,2011-01-01,http://books.google.com/books?id=NCSMDQAAQBAJ&dq=The+Tortilla+Curtain&hl=&source=gbs_api,['Fiction'],309,3.6116504854368934,"Here are the chosen tags for ""The Tortilla Curtain"" by T. Coraghessan Boyle:

### Genres

- Novel
- Fiction
- Literary Fiction
- Contemporary

### Themes

- Identity
- Social Class
- Immigration
- Racism
- Nationality
- Cultural Differences
- Power Struggle
- Social Justice
- Morality

### Settings

- United States
- Mexico
- Border Region

### Tone/Mood

- Serious
- Thought-Provoking
- Emotional
- Critical
- Humorous
- Satirical","Novel, Fiction, Literary Fiction, Contemporary","Identity, Social Class, Immigration, Racism, Nationality, Cultural Differences, Power Struggle, Social Justice, Morality","United States, Mexico, Border Region","Serious, Thought-Provoking, Emotional, Critical, Humorous, Satirical",,,,
